option,rooms,area,floor,total_floors,house_type,condition,price
For sale,1,24,2,2,Brick,Partial amenities,"€ 7,900"
For sale,1,28,1,3,Masonry,Partial amenities,"€ 17,500"
For sale,2,51,3,9,Panel,All amenities,"€ 59,500"
For rent,4,104,4,6,Panel,All amenities,€ 628
For rent,2,52.4,4,6,Masonry,All amenities,€ 900
For rent,2,75,3,6,Panel,All amenities,€ 850
For sale,3,109,1,4,Brick-Panel,All amenities,"€ 142,000"
For sale,1,27,2,5,Brick,All amenities,"€ 22,500"
For sale,3,125,3,4,Masonry,All amenities,"€ 300,000"
For sale,1,34,2,5,Brick-Panel,All amenities,"€ 25,000"
For sale,3,82,6,7,Masonry,All amenities,"€ 153,000"
For sale,3,54,3,5,Panel,All amenities,"€ 45,000"
For rent,1,48,2,5,Panel,All amenities,€ 25
For sale,1,37,6,7,Masonry,All amenities,"€ 84,000"
For sale,2,43,4,5,Brick,All amenities,"€ 41,500"
For rent,2,38,4,6,Brick-Panel,All amenities,€ 330
For sale,2,42,2,5,Brick,All amenities,"€ 51,500"
For rent,2,48,2,6,Brick,All amenities,€ 680
For rent,3,83,4,7,Panel,All amenities,"€ 1,100"
For sale,1,32,9,9,Panel,All amenities,"€ 75,000"
For sale,3,83,4,7,Panel,All amenities,"€ 225,000"
For rent,2,50,2,3,Wood,All amenities,€ 500
For rent,1,32,2,3,Masonry,All amenities,€ 300
For rent,2,50,5,6,Brick,All amenities,€ 480
For sale,2,59,2,6,Masonry,All amenities,"€ 89,100"
For sale,1,42.3,3,5,Brick,All amenities,"€ 33,500"
For sale,5,142,2,7,Brick,All amenities,"€ 132,000"
For sale,2,32,1,6,Masonry,All amenities,"€ 76,800"
For sale,1,46,8,12,Panel,All amenities,"€ 46,000"
For sale,1,32,2,9,Brick-Panel,All amenities,"€ 34,500"
For rent,2,60,1,1,Wood,All amenities,€ 600
For rent,1,26,4,4,Brick,Partial amenities,€ 150
For sale,3,79,8,10,Panel,All amenities,"€ 74,000"
For rent,3,85,2,3,Masonry,All amenities,€ 850
For rent,3,71,3,3,Masonry,All amenities,€ 710
For rent,1,33,2,5,Masonry,All amenities,€ 49
For rent,1,30,4,5,Brick,All amenities,€ 30
For sale,4,127,2,5,Masonry,All amenities,"€ 400,000"
For rent,3,78,6,6,Brick,All amenities,€ 560
For sale,2,50,2,9,Panel,All amenities,"€ 51,000"
For rent,1,30,2,2,Wood,All amenities,€ 180
For sale,2,52.4,1,5,Masonry,All amenities,"€ 86,460"
For rent,3,111.3,2,5,Brick-Panel,All amenities,"€ 1,000"
For sale,2,45,2,2,Brick,All amenities,"€ 39,500"
For sale,3,66,3,6,Masonry,All amenities,"€ 178,200"
For rent,3,73,5,6,Masonry,All amenities,€ 890
For rent,3,74,3,5,Masonry,All amenities,€ 700
For rent,1,39,3,5,Panel,All amenities,€ 300
For rent,1,49,12,14,Panel-Brick,All amenities,€ 300
For sale,1,26,5,6,Brick,All amenities,"€ 45,000"
For rent,1,25,3,5,Brick,All amenities,€ 290
For sale,2,56,15,15,Panel,All amenities,"€ 72,600"
For sale,1,30,2,5,Brick,All amenities,"€ 30,000"
For rent,1,19,4,6,Brick-Panel,All amenities,€ 460
For sale,2,46,4,5,Panel-Brick,All amenities,"€ 56,999"
For rent,1,20,1,2,Brick,All amenities,€ 280
For sale,4,139,6,7,Masonry,All amenities,"€ 144,000"
For sale,1,52,5,5,Masonry,All amenities,"€ 115,000"
For sale,2,59,4,5,Panel-Brick,All amenities,"€ 105,850"
For rent,3,70,5,5,Masonry,All amenities,€ 470
For sale,6,142.4,2,10,Panel,All amenities,"€ 115,000"
For rent,2,63,3,5,Panel,All amenities,€ 430
For rent,1,45,6,9,Panel,All amenities,€ 220
For sale,3,79,1,6,Panel,All amenities,"€ 119,000"
For rent,2,54,3,4,Panel,All amenities,€ 450
For sale,2,51,3,5,Panel,All amenities,"€ 58,000"
For sale,4,91,3,9,Panel,All amenities,"€ 91,000"
For rent,6,160,5,6,Brick-Panel,All amenities,"€ 1,500"
For rent,2,75,4,4,Brick-Panel,All amenities,€ 420
For rent,2,52,5,9,Panel,All amenities,€ 300
For sale,2,43,1,6,Brick,All amenities,"€ 62,000"
For sale,2,50,3,9,Panel,All amenities,"€ 51,000"
For rent,2,51,1,10,Panel,All amenities,€ 330
For rent,2,49,9,9,Panel,All amenities,€ 250
For sale,1,27,1,2,Wood,Partial amenities,"€ 17,000"
For sale,3,65,3,9,Panel,All amenities,"€ 54,000"
Renting,2,70,2,,Masonry,,
For sale,3,70,4,5,Panel,All amenities,"€ 58,200"
For sale,2,50,3,4,Masonry,All amenities,"€ 48,000"
For sale,3,79,1,4,Masonry,All amenities,"€ 147,000"
For rent,1,27,2,5,Brick,All amenities,€ 280
For sale,1,30,1,5,Brick,All amenities,"€ 35,500"
For sale,2,86,5,5,Panel,All amenities,"€ 125,000"
For sale,3,68,5,5,Masonry,All amenities,"€ 260,000"
For sale,3,72,5,12,Brick,All amenities,"€ 116,000"
For rent,2,33,5,5,Masonry,All amenities,€ 525
For rent,2,118,5,5,Brick-Panel,All amenities,€ 820
For sale,3,77,1,10,Panel,All amenities,"€ 72,700"
For sale,3,82,1,2,Wood,Partial amenities,"€ 31,000"
For sale,3,87,4,6,Masonry,All amenities,"€ 135,000"
For sale,1,31,2,3,Brick,All amenities,"€ 24,750"
For sale,2,38,2,5,Brick-Panel,All amenities,"€ 27,300"
For sale,1,35,2,7,Masonry,All amenities,"€ 79,580"
For sale,1,36,5,5,Brick-Panel,All amenities,"€ 32,000"
For rent,2,40,5,6,Brick,All amenities,€ 170
For sale,1,44,9,9,Panel,All amenities,"€ 31,000"
For sale,3,94,4,5,Masonry,All amenities,"€ 210,000"
For rent,2,52,2,5,Masonry,All amenities,€ 380
For sale,4,149,12,12,Brick-Panel,All amenities,"€ 260,000"
For sale,2,37,5,5,Brick,All amenities,"€ 41,000"
For sale,3,81.8,5,18,Brick-Panel,All amenities,"€ 117,000"
For sale,1,13,3,4,Brick,All amenities,"€ 19,500"
For rent,1,40,1,1,Brick,All amenities,€ 285
For sale,5,214,5,8,Masonry,All amenities,"€ 439,000"
For rent,2,56,2,6,Brick,All amenities,€ 450
For rent,1,37,2,3,Wood,All amenities,€ 380
For sale,2,71,1,3,Masonry,All amenities,"€ 105,100"
For rent,2,45,4,5,Panel,All amenities,€ 330
For rent,1,36,1,5,Masonry,All amenities,€ 350
For rent,3,83,5,5,Masonry,All amenities,€ 750
For rent,1,38,3,9,Panel,All amenities,€ 270
For sale,2,50,2,5,Panel,All amenities,"€ 55,000"
For rent,3,70,2,9,Brick-Panel,All amenities,€ 500
For sale,2,45,3,5,Masonry,All amenities,"€ 85,000"
For sale,3,124,1,1,Masonry,All amenities,"€ 147,000"
For sale,3,79,1,4,Masonry,All amenities,"€ 142,000"
For sale,3,65,4,5,Masonry,All amenities,"€ 116,000"
For sale,3,73,5,5,Brick,All amenities,"€ 162,000"
For sale,2,34,2,5,Masonry,Partial amenities,"€ 30,000"
For sale,3,60,5,9,Panel,All amenities,"€ 57,800"
For rent,4,89,10,12,Panel-Brick,All amenities,€ 360
For sale,2,49,4,9,Panel,All amenities,"€ 55,300"
For rent,2,51,1,17,Panel,All amenities,€ 470
For sale,2,48,3,9,Panel,All amenities,"€ 55,000"
For sale,1,37,3,5,Brick,All amenities,"€ 33,000"
For sale,1,41,3,9,Panel,All amenities,"€ 28,800"
For sale,2,55,1,3,Brick-Panel,All amenities,"€ 69,000"
Renting,3,65,,,,All amenities,€ 350
For sale,1,26,1,5,Brick,All amenities,"€ 25,000"
For rent,2,60,10,16,Panel,All amenities,€ 490
For rent,3,95,2,3,Panel,All amenities,"€ 1,100"
For rent,2,60,3,4,Panel-Brick,All amenities,€ 60
For sale,1,35,5,9,Brick,All amenities,"€ 27,990"
For sale,3,60,4,5,Panel,All amenities,"€ 51,000"
For sale,2,46,2,5,Brick,All amenities,"€ 36,000"
For sale,3,99,4,6,Panel,All amenities,"€ 128,000"
For sale,3,51,4,4,Masonry,All amenities,"€ 95,000"
For sale,2,48,3,5,Masonry,All amenities,"€ 68,000"
For sale,2,50,1,5,Panel-Brick,All amenities,"€ 40,800"
For sale,2,49,6,11,Brick-Panel,All amenities,"€ 63,000"
For sale,2,51,6,9,Panel,All amenities,"€ 54,000"
For rent,2,56,2,3,Masonry,All amenities,€ 330
For sale,3,82,2,3,Masonry,All amenities,"€ 190,000"
For rent,1,31,4,5,Panel,All amenities,€ 250
For sale,3,62,3,9,Panel,Without amenities,"€ 54,990"
For rent,1,27,2,5,Brick,All amenities,€ 240
For rent,3,70,3,3,Masonry,All amenities,€ 350
For sale,4,141,4,4,Panel,All amenities,"€ 199,950"
For sale,4,172,6,7,Panel-Brick,All amenities,"€ 247,000"
For sale,2,49,3,5,Brick,All amenities,"€ 47,000"
For rent,1,25,4,4,Masonry,Partial amenities,€ 110
For sale,2,49,4,5,Brick,All amenities,"€ 38,000"
For sale,3,79,7,9,Masonry,All amenities,"€ 150,000"
For sale,3,64,5,9,Panel,All amenities,"€ 76,000"
For sale,1,35,7,9,Panel,All amenities,"€ 38,000"
For sale,2,50,5,5,Panel,All amenities,"€ 32,000"
For rent,1,23,2,4,Brick,All amenities,€ 350
For sale,4,142,6,7,Panel-Brick,All amenities,"€ 618,995"
For sale,3,100,1,3,Masonry,All amenities,"€ 300,000"
For sale,3,130,4,4,Masonry,All amenities,"€ 450,000"
For rent,3,68,5,6,Masonry,All amenities,€ 350
For sale,3,77,3,4,Masonry,All amenities,"€ 225,000"
For sale,3,103,1,4,Masonry,All amenities,"€ 268,000"
For sale,4,96,3,4,Masonry,All amenities,"€ 279,000"
For sale,2,56,1,4,Masonry,All amenities,"€ 156,000"
For sale,3,140,3,3,Masonry,All amenities,"€ 350,000"
For sale,4,97,2,4,Masonry,All amenities,"€ 250,000"
For sale,2,72,1,3,Masonry,All amenities,"€ 240,000"
For sale,2,70,1,3,Masonry,All amenities,"€ 225,000"
For sale,3,79,1,4,Masonry,All amenities,"€ 260,000"
For sale,3,99,2,3,Masonry,All amenities,"€ 330,000"
For sale,3,68,5,5,Brick-Panel,All amenities,"€ 80,000"
For rent,1,13,1,3,Brick,All amenities,€ 200
For rent,1,13,1,3,Brick,All amenities,€ 200
For sale,3,81.8,5,6,Panel,All amenities,"€ 152,966"
For rent,2,45,2,6,Masonry,All amenities,€ 430
For rent,3,82,2,6,Panel,All amenities,€ 820
For sale,3,88.4,6,6,Panel,All amenities,"€ 165,308"
For rent,2,102,1,6,Brick-Panel,All amenities,€ 700
For rent,3,97,3,6,Masonry,All amenities,€ 520
For rent,1,36,2,9,Panel,All amenities,€ 225
For sale,1,21,2,2,Wood,Partial amenities,"€ 7,500"
For sale,2,55,7,12,Brick,All amenities,"€ 78,950"
For sale,1,40,2,5,Panel,All amenities,"€ 36,750"
For sale,5,145,4,5,Masonry,All amenities,"€ 216,000"
For sale,3,61,4,4,Masonry,All amenities,"€ 39,000"
For sale,3,98,5,7,Panel-Brick,All amenities,"€ 125,000"
For sale,2,48,1,3,Brick,All amenities,"€ 44,500"
For sale,1,43,3,5,Panel,All amenities,"€ 32,500"
For sale,4,216,1,4,Brick,All amenities,"€ 125,000"
For rent,3,61,4,4,Panel,All amenities,€ 550
For rent,1,17,3,5,Masonry,All amenities,€ 25
For sale,1,38,2,5,Brick-Panel,All amenities,"€ 27,500"
For sale,3,58,5,5,Panel,All amenities,"€ 34,500"
For sale,3,83,7,9,Panel-Brick,All amenities,"€ 64,000"
For sale,3,126,6,6,Masonry,All amenities,"€ 273,000"
For sale,1,28,7,9,Brick-Panel,All amenities,"€ 27,900"
For sale,4,80,9,9,Panel,All amenities,"€ 79,000"
For sale,2,51,6,9,Panel,All amenities,"€ 53,000"
For sale,2,58,4,9,Panel,All amenities,"€ 63,000"
For sale,1,26,1,2,Wood,All amenities,"€ 14,900"
For sale,4,78,7,9,Panel,All amenities,"€ 88,600"
For sale,2,50,4,5,Masonry,All amenities,"€ 67,000"
For rent,1,22,6,5,Brick,All amenities,€ 30
For sale,1,39,1,5,Panel,All amenities,"€ 37,500"
For rent,1,30,4,9,Masonry,All amenities,€ 240
For rent,6,120,5,5,Masonry,All amenities,€ 330
For sale,1,14,3,3,Masonry,All amenities,"€ 5,000"
For sale,4,98,5,6,Panel,All amenities,"€ 85,500"
For rent,2,50,2,5,Brick,All amenities,€ 490
For sale,2,46,2,5,Masonry,All amenities,"€ 55,000"
For sale,3,86,6,7,Brick,All amenities,"€ 99,900"
For rent,2,95,3,3,Brick,All amenities,€ 750
For rent,3,54,5,5,Brick,All amenities,€ 400
For sale,3,74,3,16,Panel,All amenities,"€ 63,000"
For sale,1,46,9,9,Panel,All amenities,"€ 47,000"
For rent,2,66,4,7,Brick,All amenities,€ 700
For rent,3,75,5,5,Panel,All amenities,€ 550
For sale,4,95,4,5,Brick-Panel,All amenities,"€ 127,000"
For rent,2,70,2,2,Panel,All amenities,€ 450
For sale,2,63,4,24,Panel-Brick,All amenities,"€ 150,000"
For sale,2,53,2,9,Brick,All amenities,"€ 52,000"
For sale,2,50,1,5,Panel,All amenities,"€ 38,300"
For rent,3,42,3,5,Panel,All amenities,€ 39
For sale,2,37,2,3,Brick,Partial amenities,"€ 35,800"
For rent,2,55,2,5,Brick-Panel,All amenities,€ 35
For sale,1,34,1,5,Masonry,All amenities,"€ 45,200"
For rent,1,22,2,6,Brick,All amenities,€ 25
For sale,6,119,6,6,Masonry,All amenities,"€ 298,500"
For sale,4,90,6,10,Panel,All amenities,"€ 89,000"
For sale,6,293,9,9,Masonry,All amenities,"€ 300,000"
For sale,4,91,2,5,Masonry,All amenities,"€ 125,000"
For rent,3,85,4,5,Masonry,All amenities,€ 850
For sale,3,79,1,3,Brick,All amenities,"€ 135,000"
For rent,3,70,3,5,Brick-Panel,All amenities,€ 420
For rent,2,48,4,5,Panel,All amenities,€ 350
For rent,3,85,2,7,Panel,All amenities,"€ 1,150"
For rent,1,25,1,6,Masonry,All amenities,€ 200
For rent,1,20,2,3,Panel,Partial amenities,€ 140
For sale,2,53,4,10,Brick-Panel,All amenities,"€ 78,000"
For rent,1,19,2,5,Brick,All amenities,€ 260
For sale,1,39,2,9,Brick-Panel,All amenities,"€ 37,500"
For sale,2,50,2,6,Brick,All amenities,"€ 85,000"
For sale,2,64,6,18,Brick-Panel,All amenities,"€ 89,500"
For sale,3,80,2,7,Masonry,All amenities,"€ 158,000"
For sale,3,113,1,6,Masonry,All amenities,"€ 195,000"
For rent,2,41,3,5,Brick,All amenities,€ 400
For sale,1,37,4,7,Masonry,All amenities,"€ 84,000"
For sale,1,41,2,3,Brick-Panel,All amenities,"€ 58,500"
For sale,3,80,4,5,Panel-Brick,All amenities,"€ 119,000"
For sale,2,42,4,6,Masonry,Partial amenities,"€ 27,900"
For rent,1,30,6,6,Masonry,All amenities,€ 230
For sale,2,47,2,2,Wood,All amenities,"€ 75,200"
For rent,2,59,6,6,Panel-Brick,All amenities,€ 500
For sale,3,62,3,9,Panel,All amenities,"€ 51,000"
For sale,2,57,4,5,Brick-Panel,All amenities,"€ 65,000"
For sale,2,54,2,5,Brick,All amenities,"€ 45,500"
For rent,2,36,3,3,Masonry,All amenities,€ 500
For sale,3,90,2,6,Masonry,All amenities,"€ 258,000"
For rent,2,42,1,5,Brick,All amenities,€ 300
For rent,2,64,4,5,Brick-Panel,All amenities,€ 850
For sale,4,99,6,6,Masonry,All amenities,"€ 95,000"
For rent,2,46,4,5,Masonry,All amenities,€ 490
For rent,3,65,2,5,Brick-Panel,All amenities,€ 330
For rent,1,27,4,4,Brick-Panel,All amenities,€ 280
For rent,1,36,1,9,Masonry,All amenities,€ 350
For rent,1,22,2,4,Brick-Panel,All amenities,€ 250
For sale,3,70,5,6,Brick,All amenities,"€ 138,000"
For sale,2,37,2,5,Masonry,All amenities,"€ 71,000"
For sale,2,38,1,5,Masonry,All amenities,"€ 76,000"
For sale,3,102,6,12,Brick,All amenities,"€ 160,000"
For rent,3,130,6,7,Masonry,All amenities,"€ 1,300"
For rent,3,85,5,6,Brick-Panel,All amenities,€ 100
For rent,3,106,3,8,Masonry,All amenities,"€ 1,200"
For sale,4,123,3,5,Masonry,All amenities,"€ 272,600"
For rent,3,103,3,6,Masonry,All amenities,€ 690
For rent,3,131,24,25,Masonry,All amenities,"€ 1,400"
For rent,2,50,5,6,Brick,All amenities,€ 480
For sale,3,61,5,5,Panel,All amenities,"€ 59,500"
For rent,2,71,1,2,Wood,All amenities,€ 500
For rent,3,115,4,4,Brick,All amenities,€ 600
For sale,2,43,2,5,Panel,All amenities,"€ 53,550"
For rent,2,68,5,9,Panel-Brick,All amenities,€ 550
For sale,1,29,3,5,Brick,All amenities,"€ 23,000"
For sale,3,77,3,5,Panel-Brick,All amenities,"€ 134,000"
For sale,2,39,3,5,Panel,All amenities,"€ 34,900"
For rent,3,58,5,6,Masonry,All amenities,€ 680
For rent,3,61,2,3,Masonry,All amenities,€ 340
For rent,1,18,3,5,Brick,All amenities,€ 130
For sale,3,67,5,5,Masonry,All amenities,"€ 180,000"
For rent,3,64,2,2,Wood,All amenities,€ 290
For rent,1,32,5,5,Brick-Panel,All amenities,€ 225
For rent,5,140,5,5,Masonry,All amenities,€ 290
For rent,1,30,3,9,Panel,All amenities,€ 30
For sale,2,45,3,5,Brick,All amenities,"€ 35,000"
For sale,1,39,2,3,Masonry,All amenities,"€ 38,700"
For rent,4,104,2,5,Brick,All amenities,€ 680
For rent,3,83,1,5,Masonry,All amenities,€ 660
For sale,3,62,4,9,Panel,All amenities,"€ 60,000"
For rent,4,94,3,4,Panel,All amenities,€ 800
For sale,2,34,4,4,Brick-Panel,All amenities,"€ 24,000"
For rent,2,46,1,6,Panel,All amenities,€ 35
For sale,4,94,3,7,Masonry,All amenities,"€ 210,000"
For sale,2,47,2,5,Brick,All amenities,"€ 37,500"
For rent,5,98,2,5,Masonry,All amenities,€ 690
For sale,3,145,3,4,Panel,All amenities,"€ 189,805"
For rent,2,46,2,5,Panel,All amenities,€ 250
For rent,2,46,3,6,Brick-Panel,All amenities,€ 450
For rent,2,50,3,9,Panel,All amenities,€ 299
For rent,1,25,2,2,Wood,All amenities,€ 230
For rent,2,56,2,7,Brick-Panel,All amenities,€ 670
For sale,3,60,5,5,Panel,All amenities,"€ 42,999"
For sale,2,47,5,5,Panel,All amenities,"€ 33,500"
For sale,3,74,1,2,Brick,All amenities,"€ 45,000"
For sale,1,33,2,2,Brick,All amenities,"€ 29,600"
For sale,2,50,4,4,Masonry,All amenities,"€ 35,000"
For sale,3,58,4,5,Brick,All amenities,"€ 64,000"
For rent,1,15,3,3,Wood,Partial amenities,€ 50
For sale,2,40,1,2,Wood,Partial amenities,"€ 33,000"
For sale,3,91,1,5,Panel,All amenities,"€ 96,000"
For sale,1,21,1,5,Brick,All amenities,"€ 18,500"
For rent,2,62,2,4,Masonry,All amenities,€ 450
For rent,3,97,4,5,Masonry,All amenities,"€ 1,600"
For rent,1,35,1,5,Masonry,All amenities,€ 210
For sale,4,73,3,9,Panel,All amenities,"€ 65,000"
For sale,6,208,2,3,Masonry,All amenities,"€ 209,000"
For rent,1,44,5,9,Panel,All amenities,€ 320
For rent,3,110,6,6,Masonry,All amenities,€ 800
For rent,2,37,5,5,Brick,All amenities,€ 375
For sale,1,28,3,5,Brick,All amenities,"€ 24,000"
For sale,3,79,2,9,Panel,All amenities,"€ 76,000"
For sale,2,30,1,4,Brick,All amenities,"€ 65,000"
For sale,1,44,2,7,Brick,All amenities,"€ 40,000"
For sale,3,59,2,6,Brick,All amenities,"€ 80,000"
For rent,3,75,4,9,Panel,All amenities,€ 490
For sale,4,112,3,6,Masonry,All amenities,"€ 145,000"
For rent,2,30,2,3,Wood,All amenities,€ 350
For sale,5,138,4,4,Masonry,All amenities,"€ 168,000"
For rent,2,80,8,18,Brick-Panel,All amenities,€ 520
For sale,1,18,2,4,Masonry,All amenities,"€ 44,500"
For sale,3,60,7,9,Panel,All amenities,"€ 104,949"
For sale,4,78,8,9,Panel,All amenities,"€ 133,722"
For sale,2,51,6,9,Panel,All amenities,"€ 87,365"
For sale,4,78,5,9,Panel,All amenities,"€ 130,203"
For sale,4,78,6,9,Panel,All amenities,"€ 130,985"
For sale,2,45,7,9,Panel,All amenities,"€ 79,502"
For sale,1,36,5,5,Brick-Panel,All amenities,"€ 31,000"
For sale,2,45,4,5,Panel,All amenities,"€ 45,000"
For sale,2,50,7,9,Panel,All amenities,"€ 43,000"
For sale,2,50,5,5,Panel,All amenities,"€ 45,000"
For sale,4,113,12,12,Brick,All amenities,"€ 109,000"
For sale,3,62,3,5,Panel-Brick,All amenities,"€ 101,200"
For sale,4,137,1,4,Masonry,Partial amenities,"€ 259,737"
For sale,4,137,1,4,Masonry,All amenities,"€ 259,737"
For sale,3,91,2,3,Masonry,All amenities,"€ 145,000"
For sale,2,37,3,6,Masonry,All amenities,"€ 45,000"
For sale,3,65,2,4,Masonry,All amenities,"€ 101,693"
For sale,2,55,3,3,Masonry,All amenities,"€ 64,000"
For rent,3,85,2,7,Masonry,All amenities,"€ 1,150"
For rent,3,69,4,6,Masonry,All amenities,€ 480
For rent,3,100,6,6,Masonry,All amenities,€ 800
For sale,3,55,1,5,Panel-Brick,All amenities,"€ 43,900"
For rent,3,89,3,4,Panel-Brick,All amenities,€ 580
For rent,3,62,2,5,Panel-Brick,All amenities,€ 390
For sale,1,37,1,3,Brick,All amenities,"€ 35,000"
For rent,1,35,3,3,Masonry,All amenities,€ 250
For sale,2,74,4,5,Masonry,All amenities,"€ 143,000"
For sale,3,80,2,5,Panel-Brick,All amenities,"€ 140,000"
For sale,4,153,5,6,Masonry,All amenities,"€ 160,000"
For sale,4,90,2,5,Masonry,All amenities,"€ 116,000"
For sale,1,30,5,5,Masonry,All amenities,"€ 43,900"
For sale,2,48,1,5,Panel,All amenities,"€ 40,000"
For sale,3,63,5,9,Panel,All amenities,"€ 68,000"
For sale,1,27.1,2,4,Masonry,All amenities,"€ 18,000"
For rent,2,44,3,6,Masonry,All amenities,€ 650
For sale,2,49,1,5,Panel,All amenities,"€ 46,900"
For sale,3,94,10,25,Panel,All amenities,"€ 169,000"
For sale,2,44,4,5,Brick,All amenities,"€ 39,000"
For rent,6,85,2,2,Brick,All amenities,€ 290
For sale,2,38,5,3,Brick,All amenities,"€ 49,000"
For rent,2,48,1,3,Masonry,All amenities,€ 270
For sale,3,79,4,9,Panel,All amenities,"€ 71,100"
For sale,4,110,10,24,Brick-Panel,All amenities,"€ 270,000"
For rent,3,77,5,9,Panel,All amenities,€ 410
For rent,1,33,4,4,Masonry,All amenities,€ 324
For rent,2,32,3,7,Masonry,All amenities,€ 330
For rent,1,33,1,2,Wood,All amenities,€ 200
For sale,3,78,1,12,Brick,All amenities,"€ 80,000"
For sale,4,101,6,6,Masonry,All amenities,"€ 155,000"
For sale,3,95,5,6,Masonry,All amenities,"€ 133,280"
For sale,1,33,4,9,Panel,All amenities,"€ 39,500"
For sale,2,43,3,6,Masonry,All amenities,"€ 98,900"
For sale,2,58,2,6,Masonry,All amenities,"€ 125,000"
For sale,2,59,1,1,Brick,Partial amenities,"€ 27,000"
For sale,2,50,5,5,Panel,All amenities,"€ 57,000"
For rent,3,57,3,3,Brick,All amenities,€ 580
For rent,3,95,3,5,Masonry,All amenities,€ 800
For sale,1,22,2,2,Wood,Without amenities,"€ 6,900"
For sale,2,54,6,9,Panel,All amenities,"€ 51,000"
For sale,2,48,2,5,Panel,All amenities,"€ 36,500"
For sale,1,23,2,6,Masonry,All amenities,"€ 58,905"
For rent,3,63,9,9,Panel,All amenities,€ 430
For sale,2,54,4,5,Masonry,All amenities,"€ 75,000"
For sale,3,65,5,9,Panel,All amenities,"€ 72,000"
For rent,1,32,8,9,Panel,All amenities,€ 220
For sale,2,44,4,5,Panel,All amenities,"€ 36,400"
For sale,3,62,1,9,Brick-Panel,All amenities,"€ 55,000"
For sale,3,69,3,5,Brick-Panel,All amenities,"€ 75,000"
For sale,2,53,4,4,Masonry,All amenities,"€ 35,000"
For sale,2,70,2,4,Masonry,All amenities,"€ 79,999"
For sale,2,42,3,6,Masonry,All amenities,"€ 75,708"
For sale,2,64,2,7,Panel-Brick,All amenities,"€ 114,900"
For sale,4,75,5,9,Panel,All amenities,"€ 78,000"
For rent,5,133,4,5,Brick,All amenities,€ 59
For sale,3,84,3,3,Masonry,All amenities,"€ 119,800"
For rent,2,57,3,4,Masonry,All amenities,€ 480
For rent,2,40,4,5,Brick,All amenities,€ 335
For sale,1,24,4,4,Brick,All amenities,"€ 58,000"
For rent,1,43,1,9,Panel-Brick,All amenities,€ 280
For sale,2,44,6,6,Brick,All amenities,"€ 46,400"
For sale,3,60,5,5,Panel,All amenities,"€ 59,500"
For sale,1,30,3,6,Brick,All amenities,"€ 46,800"
For sale,1,27,5,5,Brick,All amenities,"€ 20,500"
For sale,2,50,1,5,Panel,All amenities,"€ 43,900"
For sale,1,21,1,2,Wood,Partial amenities,"€ 14,500"
For rent,1,36,9,9,Panel,All amenities,€ 220
For sale,4,153,1,3,Wood,All amenities,"€ 275,000"
For rent,2,52,2,5,Masonry,All amenities,€ 420
For sale,2,80,1,5,Masonry,All amenities,"€ 106,100"
For rent,1,20,2,3,Masonry,All amenities,€ 25
For sale,2,53.5,6,7,Panel,All amenities,"€ 137,000"
For sale,3,71,1,4,Brick,All amenities,"€ 143,000"
For rent,1,25,4,6,Masonry,All amenities,€ 130
For sale,1,24,2,2,Masonry,All amenities,"€ 28,000"
For sale,5,123,2,6,Masonry,All amenities,"€ 125,000"
For sale,2,54,4,5,Brick-Panel,All amenities,"€ 31,000"
For sale,1,31,9,12,Brick,All amenities,"€ 34,000"
For sale,3,63,8,9,Panel,All amenities,"€ 60,000"
For rent,1,37,3,9,Panel,All amenities,€ 250
For rent,1,26,2,2,Masonry,All amenities,€ 295
For rent,1,43,9,9,Panel-Brick,All amenities,€ 250
For sale,1,12,2,4,Brick,Partial amenities,"€ 13,000"
For sale,2,64,2,3,Panel-Brick,All amenities,"€ 114,000"
For rent,2,51,3,9,Panel,All amenities,€ 350
For sale,2,37.6,2,5,Panel,All amenities,"€ 35,000"
For sale,2,49,7,9,Panel,All amenities,"€ 46,000"
For rent,1,30,3,4,Masonry,All amenities,€ 180
For rent,2,50,4,5,Panel,All amenities,€ 290
For sale,1,56,6,6,Masonry,All amenities,"€ 67,000"
For sale,2,50,1,5,Panel,All amenities,"€ 45,000"
For rent,1,23,3,5,Masonry,All amenities,€ 235
For sale,5,98,2,5,Brick,All amenities,"€ 103,000"
For rent,3,75,1,3,Masonry,All amenities,€ 670
For sale,4,92,4,7,Brick,All amenities,"€ 162,000"
For sale,2,94,13,24,Masonry,All amenities,"€ 147,000"
For rent,2,45,1,1,Wood,All amenities,€ 32
For rent,3,120,2,5,Brick,All amenities,€ 15
For rent,2,42,1,5,Masonry,All amenities,€ 300
For sale,3,83.3,3,4,Panel,All amenities,"€ 135,000"
For sale,4,74,4,9,Panel,Partial amenities,"€ 80,000"
For sale,2,50,8,9,Panel,All amenities,"€ 57,500"
For rent,1,36,8,12,Brick-Panel,All amenities,€ 230
For rent,1,8,4,4,Brick-Panel,All amenities,€ 100
For sale,2,43,5,5,Panel,All amenities,"€ 49,000"
For sale,3,50,1,2,Wood,Partial amenities,"€ 15,000"
For sale,3,79,3,7,Brick-Panel,All amenities,"€ 197,000"
For sale,2,45,1,5,Panel,All amenities,"€ 42,000"
For sale,3,110.5,5,6,Brick-Panel,All amenities,"€ 180,000"
For sale,3,73,3,5,Masonry,All amenities,"€ 155,000"
For sale,4,93,3,10,Masonry,All amenities,"€ 144,000"
For rent,4,152,2,6,Masonry,All amenities,"€ 1,000"
