option,rooms,area,floor,total_floors,house_type,condition,price
For sale,2,47,2,2,Wood,All amenities,"€ 75,000"
For rent,2,32,1,3,Brick,All amenities,€ 27
For rent,2,43,4,9,Panel-Brick,All amenities,€ 50
For rent,1,49,3,3,Masonry,All amenities,€ 550
For rent,1,35,2,5,Brick,All amenities,€ 250
For rent,1,35,2,5,Brick,All amenities,€ 250
For sale,2,50,4,9,Panel,All amenities,"€ 59,500"
For rent,3,60,3,5,Masonry,All amenities,€ 700
Renting,2,50,1,5,Brick-Panel,All amenities,€ 500
Renting,2,50,1,3,Brick-Panel,All amenities,
For sale,3,60,3,9,Panel,All amenities,"€ 65,000"
For rent,3,93,5,5,Masonry,All amenities,€ 465
For rent,3,85,3,5,Brick,All amenities,€ 600
For rent,2,40,1,5,Brick,All amenities,€ 280
For sale,3,70,3,7,Masonry,All amenities,"€ 155,000"
For sale,1,30,3,6,Brick,All amenities,"€ 58,000"
For rent,2,55,5,9,Panel,All amenities,€ 500
Renting,3,,1,3,,All amenities,
For rent,2,46,2,5,Brick,All amenities,€ 340
For sale,2,51,1,2,Masonry,All amenities,"€ 75,900"
For sale,3,65,5,5,Masonry,All amenities,"€ 94,000"
For sale,3,62,5,5,Masonry,All amenities,"€ 93,150"
For sale,3,85,5,5,Masonry,All amenities,"€ 117,000"
For sale,2,58,5,5,Masonry,All amenities,"€ 87,000"
For rent,2,58,8,9,Panel,All amenities,€ 265
For sale,1,24,3,3,Brick,All amenities,"€ 22,500"
For rent,4,223,2,2,Brick-Panel,All amenities,"€ 1,000"
For sale,3,52,6,9,Panel-Brick,All amenities,"€ 79,800"
For rent,1,31,2,2,Wood,All amenities,€ 220
For rent,1,23,1,2,Masonry,All amenities,€ 270
For rent,2,83,3,7,Panel,All amenities,€ 950
For sale,3,60,5,5,Panel,All amenities,"€ 55,499"
For sale,3,60,2,5,Panel,All amenities,"€ 40,000"
For sale,3,61,4,5,Panel,All amenities,"€ 49,200"
For rent,1,34,5,9,Panel,All amenities,€ 260
For sale,3,74,1,5,Brick-Panel,All amenities,"€ 92,750"
For sale,4,113,3,5,Brick-Panel,All amenities,"€ 141,375"
For sale,3,78,4,6,Masonry,All amenities,"€ 159,732"
For rent,3,97,6,6,Masonry,All amenities,€ 700
For sale,1,41,3,5,Panel,All amenities,"€ 30,500"
For rent,2,39,2,5,Brick-Panel,All amenities,€ 350
For rent,1,30,4,5,Brick-Panel,All amenities,€ 260
For sale,3,63.2,2,6,Masonry,All amenities,"€ 164,320"
For sale,4,91,1,9,Panel,All amenities,"€ 79,500"
For sale,1,13,1,2,Wood,All amenities,"€ 12,500"
For rent,1,35,3,17,Brick-Panel,All amenities,€ 250
For rent,4,114,4,5,Masonry,All amenities,€ 250
